,Year,TX,Total Average
0,1970,358.9,83.42745098039217
1,1971,375.8,84.32352941176471
2,1972,398.2,88.63725490196079
3,1973,434.7,92.49019607843137
4,1974,427.4,89.13333333333334
5,1975,406.6,86.70784313725493
6,1976,422.1,91.99411764705881
7,1977,461.1,94.71372549019607
8,1978,492.5,95.51764705882354
9,1979,512.3,96.68431372549021
10,1980,516.6,93.26862745098039
11,1981,511.6,90.84117647058825
12,1982,485.8,86.10392156862746
13,1983,488.2,85.8392156862745
14,1984,507.4,90.25490196078431
15,1985,513.0,90.3392156862745
16,1986,508.5,90.39607843137254
17,1987,515.9,93.3313725490196
18,1988,546.8,97.82156862745097
19,1989,565.7,99.31176470588238
20,1990,570.2,98.50392156862745
21,1991,564.4,97.5235294117647
22,1992,570.8,99.32156862745097
23,1993,587.2,101.33725490196078
24,1994,587.1,102.79803921568627
25,1995,590.4,104.06274509803922
26,1996,635.7,107.9450980392157
27,1997,649.8,109.36470588235295
28,1998,656.5,110.05882352941178
29,1999,646.86,111.32647058823527
30,2000,673.0,115.04705882352943
31,2001,666.9,112.89627450980392
32,2002,678.3,113.6392156862745
33,2003,671.2,115.03137254901962
34,2004,670.7,116.97058823529412
35,2005,645.0,117.46274509803922
36,2006,648.4,115.83921568627451
37,2007,646.2,117.61372549019609
38,2008,623.6,113.79607843137254
39,2009,590.5,105.79803921568629
40,2010,615.5,109.51960784313728
41,2011,635.0,106.86274509803921
42,2012,627.1,102.54313725490194
43,2013,657.8,105.10980392156864
44,2014,662.0,106.22352941176469
45,2015,655.3,103.28039215686273
46,2016,656.9,101.56470588235294
47,2017,665.1,100.85686274509806
48,2018,684.8,103.83921568627451
49,2019,683.4,101.17647058823529
50,2020,624.7,90.09803921568627
51,2021,663.5,96.29803921568627
