year,state,incident_type
1953,GA,Tornado
1953,TX,Tornado
1953,LA,Flood
1953,MI,Tornado
1953,MT,Flood
1953,MI,Tornado
1953,IA,Flood
1953,MA,Tornado
1953,TX,Flood
1953,NH,Fire
1954,FL,Flood
1954,AK,Other
1954,MS,Tornado
1954,CA,Flood
1954,GA,Tornado
1954,IA,Flood
1954,TX,Flood
1954,NV,Earthquake
1954,SD,Flood
1954,WV,Flood
1954,RI,Hurricane
1954,MA,Hurricane
1954,ME,Hurricane
1954,CT,Hurricane
1955,NY,Hurricane
1955,NM,Flood
1955,SC,Hurricane
1955,NC,Hurricane
1955,IN,Flood
1955,AK,Other
1955,HI,Volcanic Eruption
1955,CO,Flood
1955,KS,Tornado
1955,OK,Flood
1955,NV,Flood
1955,NC,Hurricane
1955,NM,Flood
1955,SC,Hurricane
1955,MA,Hurricane
1955,CT,Hurricane
1955,NJ,Hurricane
1955,PA,Flood
1955,RI,Hurricane
1955,NY,Hurricane
1956,AK,Other
1956,CA,Flood
1956,NV,Flood
1956,OR,Flood
1956,WA,Flood
1956,PA,Flood
1956,NY,Flood
1956,MI,Tornado
1956,OK,Tornado
1956,ID,Flood
1956,NC,Severe Storm
1956,OH,Other
1956,PA,Severe Storm
1956,CO,Flood
1956,OR,Flood
1956,PA,Severe Storm
1956,PR,Hurricane
1956,NV,Flood
1957,LA,Hurricane
1957,CA,Fire
1957,WV,Flood
1957,KY,Flood
1957,VA,Flood
1957,OR,Flood
1957,WA,Flood
1957,HI,Other
1957,TX,Hurricane
1957,LA,Hurricane
1957,OK,Flood
1957,MO,Tornado
1957,ID,Flood
1957,AR,Tornado
1957,MN,Flood
1957,ND,Tornado
1957,IL,Flood
1957,KS,Flood
1958,CA,Flood
1958,AR,Flood
1958,LA,Flood
1958,TX,Tornado
1958,IA,Flood
1959,NC,Hurricane
1959,KS,Flood
1959,OH,Flood
1959,PA,Flood
1959,IN,Flood
1959,TX,Flood
1959,OK,Flood
1959,HI,Hurricane
1960,OK,Flood
1960,HI,Earthquake
1960,FL,Other
1960,NE,Flood
1960,SD,Flood
1960,MO,Flood
1960,HI,Other
1960,AR,Tornado
1960,OK,Severe Storm
1960,TX,Severe Storm
1960,ID,Fire
1960,FL,Hurricane
1960,NC,Hurricane
1961,AL,Flood
1961,MS,Flood
1961,GA,Flood
1961,IA,Flood
1961,AR,Flood
1961,IN,Flood
1961,IL,Flood
1961,MO,Flood
1961,ID,Flood
1961,WV,Flood
1961,TX,Hurricane
1962,CA,Fire
1962,ID,Flood
1962,NV,Flood
1962,CA,Flood
1962,MD,Flood
1962,DE,Flood
1962,WV,Flood
1962,NJ,Flood
1962,VA,Flood
1962,KY,Flood
1962,NC,Flood
1962,NY,Flood
1962,NE,Flood
1962,SD,Flood
1962,NE,Flood
1962,IA,Flood
1963,MS,Toxic Substances
1963,OR,Severe Storm
1963,WA,Severe Storm
1963,CA,Flood
1963,LA,Toxic Substances
1963,GU,Typhoon
1963,FL,Flood
1963,ID,Flood
1963,NV,Flood
1963,CA,Flood
1963,OR,Flood
1963,WA,Flood
1963,KY,Flood
1963,WV,Flood
1963,VA,Flood
1963,GA,Flood
1963,TN,Flood
1963,HI,Flood
1963,FM,Typhoon
1963,GU,Typhoon
1963,WY,Flood
1963,NE,Flood
1963,AR,Flood
1963,NY,Flood
1963,TX,Hurricane
1964,VT,Drought
1964,CA,Dam/Levee Break
1964,VT,Flood
1964,KY,Flood
1964,IN,Flood
1964,AR,Flood
1964,WV,Flood
1964,OH,Flood
1964,AK,Earthquake
1964,CA,Other
1964,PR,Drought
1964,VI,Drought
1964,MT,Flood
1964,MO,Flood
1964,NE,Flood
1964,FL,Hurricane
1964,GA,Hurricane
1964,FL,Hurricane
1965,LA,Hurricane
1965,NC,Flood
1965,GA,Flood
1965,FM,Typhoon
1965,MT,Snowstorm
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,OR,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,CA,Flood
1965,WA,Flood
1965,WA,Flood
1965,WA,Flood
1965,WA,Flood
1965,WA,Flood
