Model Year,State,Make,Count
1997,WA,CHEVROLET,1
1998,WA,FORD,1
1999,WA,FORD,3
2000,WA,FORD,7
2002,WA,TOYOTA,2
2003,WA,TOYOTA,1
2008,BC,TESLA,0
2008,WA,TESLA,19
2010,WA,TESLA,20
2010,WA,WHEEGO ELECTRIC CARS,3
2011,WA,AZURE DYNAMICS,5
2011,WA,CHEVROLET,76
2011,WA,NISSAN,690
2011,WA,TESLA,6
2011,WA,TH!NK,5
2012,CA,CHEVROLET,1
2012,CA,TOYOTA,1
2012,MD,FISKER,1
2012,TX,TESLA,1
2012,WA,AZURE DYNAMICS,3
2012,WA,CHEVROLET,484
2012,WA,FISKER,14
2012,WA,FORD,12
2012,WA,MITSUBISHI,43
2012,WA,NISSAN,567
2012,WA,TESLA,123
2012,WA,TOYOTA,380
2013,AP,NISSAN,0
2013,AZ,NISSAN,1
2013,CA,CHEVROLET,1
2013,CA,TESLA,1
2013,CA,TOYOTA,1
2013,FL,FORD,1
2013,MD,TOYOTA,1
2013,NJ,TESLA,1
2013,NV,CHEVROLET,1
2013,NV,TESLA,1
2013,VA,CHEVROLET,2
2013,WA,CHEVROLET,782
2013,WA,FIAT,103
2013,WA,FORD,606
2013,WA,NISSAN,1889
2013,WA,SMART,27
2013,WA,TESLA,743
2013,WA,TOYOTA,293
2014,CA,CHEVROLET,1
2014,CA,FORD,1
2014,CO,CHEVROLET,1
2014,CT,CHEVROLET,1
2014,CT,FORD,1
2014,FL,CHEVROLET,1
2014,HI,TOYOTA,1
2014,MD,NISSAN,1
2014,NC,CADILLAC,1
2014,NJ,CHEVROLET,1
2014,NV,FORD,1
2014,VA,CHEVROLET,1
2014,VA,FORD,1
2014,VA,TESLA,1
2014,WA,BMW,441
2014,WA,CADILLAC,57
2014,WA,CHEVROLET,712
2014,WA,FIAT,97
2014,WA,FORD,585
2014,WA,HONDA,10
2014,WA,MERCEDES-BENZ,26
2014,WA,MITSUBISHI,9
2014,WA,NISSAN,645
2014,WA,PORSCHE,12
2014,WA,SMART,71
2014,WA,TESLA,643
2014,WA,TOYOTA,217
2015,AZ,TESLA,1
2015,CA,FORD,2
2015,CA,NISSAN,3
2015,CA,TOYOTA,1
2015,CT,CHEVROLET,1
2015,GA,NISSAN,1
2015,HI,TESLA,1
2015,IL,NISSAN,1
2015,LA,BMW,1
2015,MD,FORD,1
2015,MI,TOYOTA,1
2015,NY,FORD,1
2015,OR,TOYOTA,1
2015,VA,TESLA,1
2015,WA,BMW,390
2015,WA,CHEVROLET,455
2015,WA,FIAT,234
2015,WA,FORD,526
2015,WA,KIA,20
2015,WA,MERCEDES-BENZ,25
2015,WA,NISSAN,1780
2015,WA,PORSCHE,32
2015,WA,SMART,57
2015,WA,TESLA,1079
2015,WA,TOYOTA,92
2015,WA,VOLKSWAGEN,126
2016,CA,FORD,1
2016,CA,TESLA,2
2016,CO,CHEVROLET,1
2016,FL,TESLA,1
2016,IL,PORSCHE,1
2016,MD,TESLA,1
2016,NJ,TESLA,1
2016,NV,TESLA,1
2016,NY,KIA,1
2016,NY,TESLA,1
2016,SC,FORD,1
2016,TX,FORD,1
2016,TX,TESLA,1
2016,UT,TESLA,1
2016,VA,TESLA,1
2016,VA,VOLKSWAGEN,1
2016,WA,AUDI,206
2016,WA,BMW,374
2016,WA,CADILLAC,20
2016,WA,CHEVROLET,307
2016,WA,FIAT,145
2016,WA,FORD,754
2016,WA,HYUNDAI,41
2016,WA,KIA,380
2016,WA,MERCEDES-BENZ,36
2016,WA,MITSUBISHI,10
2016,WA,NISSAN,1120
2016,WA,PORSCHE,74
2016,WA,SMART,32
2016,WA,TESLA,1577
2016,WA,VOLKSWAGEN,321
2016,WA,VOLVO,104
2017,BC,TESLA,0
2017,CA,BMW,1
2017,CA,FORD,1
2017,CA,TESLA,2
2017,FL,KIA,1
2017,GA,BMW,1
2017,IN,TESLA,1
2017,KS,BMW,1
2017,MD,CHEVROLET,1
2017,MD,TESLA,2
2017,MO,AUDI,1
2017,NC,BMW,1
2017,NC,TOYOTA,1
2017,SC,CHEVROLET,1
2017,TX,FORD,1
2017,TX,NISSAN,1
2017,TX,TESLA,2
2017,TX,TOYOTA,2
2017,UT,CHEVROLET,1
2017,VA,CADILLAC,1
2017,VA,TOYOTA,1
2017,WA,AUDI,185
2017,WA,BMW,663
2017,WA,CADILLAC,2
2017,WA,CHEVROLET,2802
2017,WA,CHRYSLER,89
2017,WA,FIAT,158
2017,WA,FORD,635
2017,WA,HYUNDAI,42
2017,WA,KIA,194
2017,WA,MERCEDES-BENZ,42
2017,WA,MITSUBISHI,1
2017,WA,NISSAN,914
2017,WA,PORSCHE,71
2017,WA,SMART,34
2017,WA,TESLA,1599
2017,WA,TOYOTA,902
2017,WA,VOLKSWAGEN,58
2017,WA,VOLVO,107
2018,AE,TESLA,0
2018,AZ,MERCEDES-BENZ,1
2018,CA,HONDA,1
2018,CA,TESLA,8
2018,CO,TESLA,1
2018,CT,CHRYSLER,1
2018,DC,NISSAN,1
2018,DC,TESLA,1
2018,GA,TESLA,1
2018,HI,TESLA,1
2018,IA,TESLA,1
2018,IL,TESLA,1
2018,KY,CHRYSLER,1
2018,LA,TESLA,2
2018,MA,CHEVROLET,1
2018,MD,CHRYSLER,1
2018,MD,HONDA,1
2018,MD,TESLA,1
2018,NC,CHRYSLER,1
2018,NC,TESLA,1
2018,NE,CHRYSLER,1
2018,NY,TESLA,1
2018,OR,BMW,1
2018,RI,MITSUBISHI,1
2018,TX,TESLA,1
2018,VA,TESLA,1
2018,WA,AUDI,174
2018,WA,BMW,719
2018,WA,CADILLAC,11
2018,WA,CHEVROLET,1238
2018,WA,CHRYSLER,538
2018,WA,FIAT,49
2018,WA,FORD,164
2018,WA,HONDA,611
2018,WA,HYUNDAI,19
2018,WA,KIA,304
2018,WA,MERCEDES-BENZ,51
2018,WA,MINI,54
2018,WA,MITSUBISHI,184
2018,WA,NISSAN,1209
2018,WA,PORSCHE,77
2018,WA,SMART,45
2018,WA,TESLA,7731
2018,WA,TOYOTA,668
2018,WA,VOLKSWAGEN,36
2018,WA,VOLVO,235
2019,AL,TESLA,1
2019,AR,NISSAN,1
2019,BC,TESLA,0
2019,CA,TESLA,3
2019,CA,TOYOTA,1
2019,CA,VOLKSWAGEN,1
2019,FL,TESLA,1
2019,HI,CHEVROLET,1
2019,HI,TESLA,1
2019,IL,CHRYSLER,1
2019,IL,TESLA,1
2019,MD,AUDI,1
2019,MN,TESLA,1
2019,NC,KIA,1
2019,TX,FORD,1
2019,TX,SUBARU,1
2019,TX,TESLA,1
2019,UT,KIA,1
2019,VA,TESLA,3
2019,WA,AUDI,515
2019,WA,BMW,325
2019,WA,CHEVROLET,1141
2019,WA,CHRYSLER,110
2019,WA,FIAT,15
2019,WA,FORD,147
2019,WA,HONDA,92
2019,WA,HYUNDAI,126
2019,WA,JAGUAR,122
2019,WA,KIA,674
2019,WA,MERCEDES-BENZ,141
2019,WA,MINI,100
2019,WA,MITSUBISHI,171
2019,WA,NISSAN,1375
2019,WA,PORSCHE,73
2019,WA,SMART,9
2019,WA,SUBARU,66
2019,WA,TESLA,4701
2019,WA,TOYOTA,211
2019,WA,VOLKSWAGEN,527
2019,WA,VOLVO,196
2020,AR,TESLA,1
2020,CA,CHRYSLER,2
2020,CA,LAND ROVER,1
2020,CA,TESLA,2
2020,CA,TOYOTA,1
2020,CO,TESLA,1
2020,CT,TESLA,1
2020,DC,TESLA,1
2020,FL,TESLA,1
2020,GA,TESLA,1
2020,IL,HYUNDAI,1
2020,MD,TESLA,1
2020,MD,TOYOTA,1
2020,MO,TESLA,2
2020,NC,KIA,1
2020,NH,TESLA,1
2020,NJ,TOYOTA,1
2020,OR,TESLA,1
2020,TX,TESLA,2
2020,VA,CHEVROLET,1
2020,VA,FORD,1
2020,WA,AUDI,240
2020,WA,BMW,175
2020,WA,CHEVROLET,1164
2020,WA,CHRYSLER,274
2020,WA,FORD,71
2020,WA,HONDA,87
2020,WA,HYUNDAI,244
2020,WA,JAGUAR,70
2020,WA,KIA,533
2020,WA,LAND ROVER,34
2020,WA,LINCOLN,32
2020,WA,MERCEDES-BENZ,35
2020,WA,MINI,3
2020,WA,MITSUBISHI,94
2020,WA,NISSAN,686
2020,WA,PORSCHE,164
2020,WA,TESLA,6940
2020,WA,TOYOTA,348
2020,WA,VOLVO,206
2021,AK,TESLA,1
2021,AL,VOLKSWAGEN,1
2021,AZ,TESLA,2
2021,AZ,VOLKSWAGEN,1
2021,CA,CHRYSLER,2
2021,CA,FORD,1
2021,CA,TESLA,12
2021,CA,TOYOTA,3
2021,CA,VOLKSWAGEN,2
2021,CA,VOLVO,1
2021,CO,CHEVROLET,1
2021,CO,CHRYSLER,1
2021,CO,POLESTAR,1
2021,CT,TOYOTA,1
2021,FL,TESLA,1
2021,GA,TOYOTA,1
2021,GA,VOLKSWAGEN,1
2021,HI,JEEP,1
2021,IL,TESLA,1
2021,IN,LINCOLN,1
2021,KS,TESLA,1
2021,KY,FORD,1
2021,KY,VOLKSWAGEN,1
2021,MD,CHRYSLER,1
2021,MD,TESLA,5
2021,MD,TOYOTA,2
2021,MD,VOLKSWAGEN,1
2021,NC,TESLA,3
2021,NC,TOYOTA,1
2021,NE,KIA,1
2021,NJ,HYUNDAI,1
2021,NJ,JEEP,1
2021,NJ,TESLA,1
2021,NV,TESLA,1
2021,NY,TESLA,2
2021,OR,VOLVO,1
2021,PA,TESLA,1
2021,SC,TESLA,1
2021,TX,JEEP,2
2021,TX,TESLA,2
2021,VA,BMW,1
2021,VA,TESLA,2
2021,WA,AUDI,579
2021,WA,BENTLEY,1
2021,WA,BMW,662
2021,WA,CHEVROLET,380
2021,WA,CHRYSLER,514
2021,WA,FORD,898
2021,WA,HONDA,19
2021,WA,HYUNDAI,191
2021,WA,JEEP,621
2021,WA,KIA,75
2021,WA,LAND ROVER,8
2021,WA,LINCOLN,43
2021,WA,MINI,132
2021,WA,MITSUBISHI,7
2021,WA,NISSAN,687
2021,WA,POLESTAR,141
2021,WA,PORSCHE,182
2021,WA,TESLA,10854
2021,WA,TOYOTA,1059
2021,WA,VOLKSWAGEN,986
2021,WA,VOLVO,666
2022,AL,CHEVROLET,2
2022,CA,FORD,1
2022,CA,HYUNDAI,1
2022,CA,JEEP,2
2022,CA,KIA,1
2022,CA,RIVIAN,1
2022,CA,TESLA,13
2022,CA,TOYOTA,2
2022,CA,VOLKSWAGEN,1
2022,CO,BMW,1
2022,CO,TESLA,3
2022,CT,HYUNDAI,1
2022,DE,TESLA,1
2022,FL,TESLA,1
2022,FL,TOYOTA,1
2022,GA,TESLA,1
2022,HI,JEEP,1
2022,HI,TESLA,1
2022,ID,RIVIAN,1
2022,IL,TESLA,1
2022,LA,TESLA,1
2022,MA,TESLA,3
2022,MD,BMW,1
2022,MD,HYUNDAI,1
2022,MD,VOLVO,1
2022,NC,TESLA,1
2022,OH,NISSAN,1
2022,OR,TESLA,1
2022,OR,TOYOTA,1
2022,PA,TESLA,1
2022,SC,CHRYSLER,1
2022,SC,TESLA,1
2022,SC,VOLVO,1
2022,TX,TESLA,2
2022,VA,JEEP,1
2022,VA,KIA,2
2022,VA,RIVIAN,1
2022,VA,TESLA,4
2022,VA,TOYOTA,1
2022,VA,VOLVO,1
2022,WA,AUDI,630
2022,WA,BENTLEY,2
2022,WA,BMW,921
2022,WA,CHEVROLET,903
2022,WA,CHRYSLER,369
2022,WA,FORD,1715
2022,WA,HYUNDAI,646
2022,WA,JAGUAR,19
2022,WA,JEEP,769
2022,WA,KIA,2059
2022,WA,LEXUS,48
2022,WA,LINCOLN,113
2022,WA,LUCID,99
2022,WA,MAZDA,2
2022,WA,MERCEDES-BENZ,149
2022,WA,MINI,234
2022,WA,MITSUBISHI,92
2022,WA,NISSAN,947
2022,WA,POLESTAR,377
2022,WA,PORSCHE,217
2022,WA,RIVIAN,1271
2022,WA,TESLA,13672
2022,WA,TOYOTA,568
2022,WA,VOLKSWAGEN,697
