,Year,TX,Total Average
0,2002,52,23.048780487804876
1,2003,90,34.854166666666664
2,2005,763,90.23076923076923
3,2006,277,24.4390243902439
4,2007,116,32.609756097560975
5,2008,476,65.67567567567568
6,2009,16,34.666666666666664
7,2010,46,36.37777777777778
8,2011,261,53.68
9,2012,1,22.56756756756757
10,2013,2,28.30952380952381
11,2014,5,22.17142857142857
12,2015,113,24.13888888888889
13,2016,168,27.685714285714287
14,2017,53,44.75609756097561
15,2018,9,23.209302325581394
16,2019,40,44.41860465116279
17,2020,616,169.46428571428572
18,2021,513,52.63414634146341
19,2022,9,26.58974358974359
